FIX:0,  DATE TIME:x014122,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014122,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014125,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014125,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014125,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014128,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014128,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014131,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014131,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014131,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014135,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014135,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014135,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014138,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014138,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014138,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014141,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014141,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014141,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014144,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014144,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014144,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014147,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014147,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x014147,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
